mac_fill,flood_p,avg_age
0.900,0.000,0.005
0.800,0.000,0.005
0.800,0.000,0.004
0.700,0.000,0.003
0.600,0.000,0.002
0.600,0.000,0.003
0.600,0.000,0.004
0.600,0.000,0.042
0.500,0.000,0.020
0.400,0.000,0.004
0.400,0.000,0.000
0.400,0.000,0.004
0.700,0.000,0.002
0.700,0.000,0.002
0.700,0.000,0.017
0.700,0.000,0.024
0.700,0.000,0.021
0.700,0.000,0.017
0.700,0.000,0.019
0.700,0.000,0.026
0.700,0.000,0.002
0.800,0.000,0.013
0.800,0.000,0.010
0.800,0.000,0.002
0.800,0.000,0.002
0.800,0.000,0.003
0.800,0.000,0.001
0.700,0.000,0.001
0.700,0.000,0.001
0.700,0.000,0.002
0.700,0.000,0.019
1.200,0.133,0.008
1.100,0.000,0.009
1.400,0.167,0.014
1.400,0.000,0.024
1.300,0.000,0.028
1.300,0.000,0.022
1.300,0.000,0.031
1.300,0.000,0.004
1.300,0.000,0.049
1.300,0.000,0.060
1.300,0.000,0.070
1.200,0.000,0.074
1.100,0.000,0.068
1.100,0.000,0.079
1.000,0.000,0.075
0.900,0.000,0.074
0.900,0.000,0.083
0.800,0.000,0.046
0.800,0.000,0.056
0.800,0.000,0.065
0.900,0.000,0.048
0.900,0.000,0.005
0.900,0.000,0.059
0.900,0.000,0.069
0.900,0.000,0.078
0.900,0.000,0.076
0.900,0.000,0.085
0.900,0.000,0.094
0.900,0.000,0.104
1.100,0.056,0.071
1.100,0.000,0.079
1.100,0.000,0.086
1.000,0.000,0.057
1.100,0.000,0.006
1.000,0.000,0.003
1.000,0.000,0.037
0.900,0.000,0.017
0.900,0.000,0.022
0.900,0.000,0.028
1.000,0.053,0.020
0.900,0.000,0.017
0.900,0.000,0.039
0.900,0.000,0.044
0.900,0.000,0.050
0.900,0.000,0.059
0.900,0.000,0.069
0.800,0.000,0.060
0.800,0.000,0.069
0.700,0.000,0.062
0.800,0.095,0.042
0.700,0.000,0.038
0.700,0.000,0.004
0.700,0.000,0.004
0.700,0.000,0.005
0.600,0.000,0.004
0.500,0.000,0.003
0.400,0.000,0.000
0.400,0.000,0.000
0.700,0.000,0.002
0.700,0.000,0.002
0.700,0.000,0.001
0.600,0.000,0.000
0.600,0.000,0.000
0.700,0.000,0.000
0.700,0.000,0.000
0.700,0.000,0.001
0.700,0.000,0.001
0.700,0.000,0.001
0.600,0.000,0.002
0.600,0.000,0.002
0.600,0.000,0.002
0.600,0.000,0.002
0.600,0.000,0.003
0.600,0.000,0.011
0.600,0.000,0.003
0.600,0.000,0.003
0.700,0.000,0.005
0.700,0.000,0.007
0.700,0.000,0.009
1.200,0.222,0.014
1.100,0.000,0.015
1.200,0.000,0.021
1.100,0.000,0.026
1.000,0.000,0.028
1.000,0.000,0.004
1.200,0.000,0.001
1.200,0.000,0.002
1.100,0.000,0.001
1.100,0.000,0.001
1.000,0.000,0.001
1.100,0.000,0.000
1.000,0.000,0.002
1.000,0.000,0.002
0.900,0.000,0.002
0.900,0.000,0.018
1.000,0.000,0.017
1.000,0.000,0.020
1.000,0.000,0.002
0.900,0.000,0.002
0.900,0.000,0.000
0.900,0.000,0.000
0.900,0.000,0.000
0.900,0.000,0.000
0.900,0.000,0.000
0.900,0.000,0.000
1.000,0.000,0.000
1.000,0.000,0.001
1.000,0.000,0.005
0.900,0.000,0.002
0.900,0.000,0.000
1.000,0.000,0.002
1.000,0.000,0.002
1.000,0.000,0.005
1.000,0.000,0.005
1.300,0.176,0.001
1.300,0.000,0.004
1.300,0.000,0.005
1.300,0.000,0.026
1.200,0.000,0.022
1.300,0.000,0.023
1.200,0.000,0.008
1.200,0.000,0.015
1.200,0.000,0.008
1.200,0.000,0.015
1.200,0.059,0.022
1.100,0.000,0.017
1.300,0.056,0.018
1.300,0.000,0.019
1.300,0.000,0.010
1.300,0.000,0.017
1.200,0.000,0.010
1.200,0.000,0.015
1.200,0.000,0.010
1.100,0.000,0.006
1.100,0.000,0.000
1.100,0.000,0.004
1.100,0.000,0.000
1.100,0.000,0.001
1.100,0.000,0.000
1.100,0.000,0.001
1.100,0.000,0.002
1.100,0.000,0.008
1.100,0.000,0.000
1.300,0.000,0.001
1.200,0.000,0.000
1.300,0.000,0.005
1.300,0.000,0.000
1.300,0.000,0.002
1.300,0.000,0.002
1.300,0.000,0.014
1.300,0.000,0.013
1.200,0.000,0.003
1.200,0.000,0.006
1.500,0.111,0.021
1.500,0.000,0.020
1.500,0.000,0.028
1.500,0.000,0.002
1.400,0.000,0.001
1.400,0.000,0.001
1.300,0.000,0.000
1.300,0.000,0.001
1.300,0.000,0.001
1.200,0.000,0.001
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.001
1.200,0.000,0.000
1.200,0.000,0.001
1.100,0.000,0.000
1.200,0.000,0.001
1.200,0.000,0.007
1.200,0.000,0.001
1.100,0.000,0.002
1.000,0.000,0.002
1.000,0.000,0.002
0.900,0.000,0.002
0.900,0.000,0.022
0.800,0.000,0.017
0.800,0.000,0.017
0.900,0.000,0.002
0.900,0.000,0.002
0.900,0.000,0.002
0.800,0.000,0.002
0.800,0.000,0.002
0.900,0.000,0.001
0.900,0.000,0.000
0.900,0.000,0.001
0.900,0.000,0.001
0.800,0.000,0.000
1.000,0.059,0.000
1.000,0.000,0.013
1.000,0.000,0.000
1.000,0.000,0.007
1.000,0.000,0.000
1.000,0.000,0.002
1.000,0.000,0.017
1.000,0.000,0.003
1.000,0.000,0.007
1.200,0.000,0.004
1.200,0.000,0.014
1.200,0.000,0.003
1.200,0.000,0.007
1.200,0.000,0.000
1.200,0.000,0.004
1.200,0.000,0.000
1.200,0.000,0.001
1.200,0.000,0.000
1.200,0.000,0.003
1.200,0.000,0.002
1.200,0.000,0.003
1.100,0.000,0.002
1.200,0.000,0.003
1.200,0.000,0.002
1.200,0.000,0.003
1.200,0.000,0.001
1.200,0.000,0.000
1.200,0.000,0.001
1.400,0.059,0.000
1.400,0.000,0.009
1.400,0.000,0.006
1.400,0.000,0.012
1.400,0.000,0.001
1.300,0.000,0.000
1.300,0.000,0.000
1.300,0.000,0.001
1.300,0.000,0.000
1.300,0.000,0.001
1.300,0.000,0.000
1.300,0.000,0.001
1.300,0.000,0.000
1.300,0.000,0.002
1.300,0.000,0.017
1.300,0.000,0.024
1.300,0.000,0.017
1.300,0.000,0.024
1.300,0.000,0.027
1.400,0.062,0.025
1.400,0.000,0.015
1.300,0.000,0.013
1.300,0.000,0.014
1.300,0.000,0.003
1.200,0.000,0.001
1.100,0.000,0.000
1.100,0.000,0.001
1.100,0.000,0.003
1.100,0.000,0.003
1.200,0.000,0.001
1.200,0.000,0.004
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.000
1.200,0.000,0.018
1.200,0.000,0.018
1.200,0.000,0.018
1.200,0.000,0.019
