Episode,Discounted_G,Total_Reward,Epsilon
1,-27.1817,-98.0016,1.0
2,-16.2842,-52.4984,0.97
3,-5.7191,-16.5,0.9409
4,-23.1942,-64.0,0.9127
5,-7.2665,-40.0,0.8853
6,-20.6279,-56.0,0.8587
7,-7.8408,-32.0,0.833
8,-8.7423,-40.0,0.808
9,-9.6004,-40.0,0.7837
10,-10.1721,-40.0,0.7602
11,-8.832,-32.0,0.7374
12,-1.2607,-24.0,0.7153
13,-14.2947,-37.6334,0.6938
14,0.1937,-19.8648,0.673
15,-5.5771,-9.0746,0.6528
16,-0.4138,-6.1664,0.6333
17,-9.059,-30.635,0.6143
18,-0.4108,-11.056,0.5958
19,-2.0258,-8.4164,0.578
20,-3.8091,-5.7862,0.5606
21,-5.7127,-20.9022,0.5438
22,-5.9767,-15.6004,0.5275
23,-3.3091,-13.7188,0.5117
24,-1.5087,-2.0018,0.4963
25,-11.1126,-22.8274,0.4814
26,0.0089,-5.1734,0.467
27,-7.5656,-16.282,0.453
28,-6.811,-20.3908,0.4394
29,-7.4914,-22.7814,0.4262
30,-1.4091,-11.8418,0.4134
31,3.8181,-7.0042,0.401
32,-5.8971,-19.1066,0.389
33,-3.2589,-7.3604,0.3773
34,-7.9837,-17.9674,0.366
35,-3.051,-9.5256,0.355
36,0.4113,3.9884,0.3444
37,-4.8801,-5.915,0.334
38,-8.6835,-15.67,0.324
39,-3.464,-10.8846,0.3143
40,-5.719,-11.1054,0.3049
41,-6.9661,-17.7222,0.2957
42,0.5381,2.7522,0.2868
43,-5.3799,-11.4188,0.2782
44,-7.7535,-25.4846,0.2699
45,0.9503,-1.6604,0.2618
46,-2.6519,-6.94,0.2539
47,-1.7136,-17.3198,0.2463
48,-2.7461,-0.1478,0.2389
49,-4.7665,-15.725,0.2318
50,-7.472,-21.5484,0.2248
51,-1.2537,-7.5512,0.2181
52,-0.2408,-4.0004,0.2115
53,-5.0919,-17.7458,0.2052
54,2.3541,6.0104,0.199
55,-0.7533,-0.625,0.1931
56,-2.8012,-5.804,0.1873
57,0.5916,-7.1984,0.1816
58,-3.3421,-7.099,0.1762
59,-2.2566,-3.3918,0.1709
60,-4.8837,-12.8744,0.1658
61,1.0543,-5.018,0.1608
62,-5.1471,-10.4964,0.156
63,-1.5771,-3.865,0.1513
64,-0.2389,-1.3166,0.1468
65,0.5762,0.7452,0.1424
66,-9.5022,-19.624,0.1381
67,-0.8791,-1.1628,0.1339
68,-3.0804,-2.311,0.1299
69,0.3723,-12.5656,0.126
70,5.3416,7.4838,0.1223
71,-1.3604,-3.5148,0.1186
72,-2.2355,-6.4556,0.115
73,-0.6448,-1.5328,0.1116
74,-2.117,-4.0006,0.1082
75,-1.9463,-3.9334,0.105
76,-0.3967,-1.9174,0.1018
77,0.3403,-3.6588,0.0988
78,-0.1019,-0.474,0.0958
79,-0.5671,-1.0626,0.0929
80,-0.16,-1.6758,0.0902
81,-1.9871,-6.0842,0.0874
82,-0.5418,-4.5998,0.0848
83,-0.5024,-1.457,0.0823
84,-1.341,-5.4688,0.0798
85,-1.325,-3.9258,0.0774
86,-5.0658,-4.2938,0.0751
87,-4.6014,-3.3438,0.0728
88,-2.1428,-14.18,0.0707
89,3.0173,5.0678,0.0685
90,-0.6539,-6.6314,0.0665
91,-0.229,1.0076,0.0645
92,-2.1204,-2.6388,0.0626
93,-1.9658,-8.2468,0.0607
94,-0.098,-0.2704,0.0589
95,-1.3697,-3.3144,0.0571
96,1.3807,2.8896,0.0554
97,-2.8433,-11.9756,0.0537
98,4.8348,6.4964,0.0521
99,-3.1633,-1.6794,0.0505
100,-2.2207,-4.087,0.049
101,-2.7212,-4.7738,0.0476
102,2.628,3.2838,0.0461
103,-0.9489,-8.218,0.0447
104,-1.1046,-3.432,0.0434
105,-0.7296,-3.9672,0.0421
106,1.6774,1.4166,0.0408
107,1.4199,3.172,0.0396
108,-3.8405,-10.069,0.0384
109,0.1003,-5.7538,0.0373
110,-2.4093,-7.2442,0.0362
111,-1.2648,-6.055,0.0351
112,1.5184,-1.8958,0.034
113,1.4753,7.9338,0.033
114,-5.4427,-6.95,0.032
115,0.5638,-10.899,0.031
116,-0.9501,-1.284,0.0301
117,0.5257,-2.346,0.0292
118,-0.3068,-4.7326,0.0283
119,-0.7834,3.5566,0.0275
120,0.8114,-2.8574,0.0267
121,-7.1096,-7.6742,0.0259
122,2.0141,5.3794,0.0251
123,-1.2639,1.7128,0.0243
124,-0.5927,-0.715,0.0236
125,-2.7746,-7.0934,0.0229
126,-0.1038,-1.6004,0.0222
127,-3.4994,-7.2214,0.0215
128,0.6164,-2.6198,0.0209
129,-0.897,-2.0184,0.0203
130,1.4085,-5.8388,0.0197
131,3.8965,-1.5986,0.0191
132,-1.2253,-6.0518,0.0185
133,0.535,-6.3206,0.0179
134,4.4682,2.0324,0.0174
135,1.1056,-2.4192,0.0169
136,-5.2661,-21.607,0.0164
137,-0.2751,0.2488,0.0159
138,-2.3262,-3.6884,0.0154
139,-0.3698,3.9018,0.0149
140,-2.8441,-0.2966,0.0145
141,-4.9984,-8.2546,0.0141
142,0.7129,-1.5788,0.0136
143,-0.4841,-8.089,0.0132
144,0.7014,-6.0558,0.0128
