State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
0,0,0,0,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]",0.0,0.0,-5.4016,0.0,EVICT
1,0,0,1,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
2,0,0,2,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
3,0,0,3,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
4,0,0,4,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
5,0,0,5,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
6,0,0,6,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
7,0,0,7,"Bin 0: [0.000, 0.125]","Bin 0: [0.000, 0.125]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
8,0,1,0,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
9,0,1,1,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
10,0,1,2,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
11,0,1,3,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
12,0,1,4,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
13,0,1,5,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
14,0,1,6,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
15,0,1,7,"Bin 0: [0.000, 0.125]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
16,0,2,0,"Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
17,0,2,1,"Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
18,0,2,2,"Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
19,0,2,3,"Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
20,0,2,4,"Bin 0: [0.000, 0.125]","Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
