Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
0.0,0.0,0.0,0.0,0.0,0.0099,0.0
0.0,0.0,-0.0292,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0099,0.0103
-0.0038,0.0,-0.0292,0.0,0.0,0.0,0.0
-0.0188,0.0,-0.0292,0.0,0.0,0.0,0.0
-0.0004,0.0,0.0,0.0,0.0,0.0099,0.0103
-0.0055,0.0,0.0,0.0,0.0,0.0099,0.0103
-0.0077,0.0,0.0,0.0,0.0,0.0099,0.0103
-0.0077,0.0,-0.0142,0.0,0.0,0.0099,0.0103
-0.0077,0.0,-0.027,0.0,0.0,0.0099,0.0103
-0.0077,-0.0052,-0.027,0.0,0.0,0.0099,0.0103
-0.0073,-0.0052,-0.027,0.0,0.0,0.0099,0.0103
-0.0068,-0.0052,-0.027,0.0,0.0,0.0099,0.0103
-0.0062,-0.0052,-0.027,0.0,0.0,0.0099,0.0103
-0.0062,-0.0052,-0.0385,0.0,0.0,0.0099,0.0103
-0.0062,-0.0052,-0.0385,0.0,0.0,0.0047,0.0103
-0.0058,-0.0052,-0.0385,0.0,0.0,0.0047,0.0103
-0.0079,-0.0052,-0.0385,0.0,0.0,0.0047,0.0103
-0.0073,-0.0052,-0.0385,0.0,0.0,0.0047,0.0103
-0.0067,-0.0052,-0.0385,0.0,0.0,0.0047,0.0103
-0.0067,-0.0052,-0.0385,0.0,0.0,0.0047,0.0047
-0.0067,-0.0052,-0.0385,0.0,0.0,-0.0032,0.0047
-0.0067,-0.0108,-0.0385,0.0,0.0,-0.0032,0.0047
-0.0067,-0.0108,-0.0385,0.0,0.0,-0.0032,0.0047
-0.0067,-0.0181,-0.0385,0.0,0.0,-0.0032,0.0047
-0.0067,-0.0181,-0.0494,0.0,0.0,-0.0032,0.0047
-0.0071,-0.0181,-0.0494,0.0,0.0,-0.0032,0.0047
0.0,0.0,0.0,0.0,0.0,-0.0078,0.0
0.0,-0.0063,0.0,0.0,0.0,-0.0078,0.0
0.0,-0.0063,0.0,0.0,0.0,-0.0078,-0.0051
0.0,-0.0063,0.0,0.0,0.0,-0.0078,-0.0098
0.0,-0.0063,-0.0153,0.0,0.0,-0.0078,-0.0098
